update,sizeXY,sizeZ,numSeeds,avgConn,devConn,fullyConn,avgLength,devLength,avgUsage,devUsage,avgFill,devFill
FILL,10,1,1:2:1,1.4224137931034482,0.11770590385768957,0,9.142528735632183,1.044558711097891,0.03562525965932696,0.008601873738395239,0.9959999999999997,3.38962354584043e-16
FILL,10,1,3:5:2,1.5257142857142856,0.042493697011607365,0,9.759210251315514,0.6797023083544872,0.14025974025974022,0.027630067719940917,0.9899999999999998,2.275280134513746e-16
FILL,10,10,1:2:1,1.4428571428571428,0.10651074037450892,0,8.953333333333331,1.4829356153305127,0.03720596672403901,0.009743256060287525,0.9959999999999998,2.2528630347724225e-16
FILL,10,10,3:5:2,1.541176470588235,0.04922935518331222,0,9.86126926862221,0.7565088543603681,0.14753416518122398,0.02675450073139465,0.9900000000000001,1.1443916996305594e-16
FILL,20,1,1:2:1,1.4802631578947367,0.06831907818327349,0,19.165789473684207,3.238057168233919,0.010396645691266686,0.0028603261671417655,0.9994999999999999,1.1251260139334012e-16
FILL,20,1,3:5:2,1.6150000000000002,0.02976095236571372,0,21.41856238273921,1.2252447788860745,0.04924906132665832,0.004881330595598047,0.9987500000000001,1.18687833744435e-16
FILL,20,20,1:2:1,1.4903846153846154,0.04902903378454598,0,18.696153846153845,2.6199970640030528,0.011236387424481473,0.0025280436688585586,0.9995000000000004,3.3966293202022056e-16
FILL,20,20,3:5:2,1.62,0.03346640106136295,0,20.01192411924119,1.2090266472309443,0.053108051731330826,0.004273440518656922,0.99875,0
METHOD_ONE,10,1,1:2:1,0,0,0,0,0,0,0,0.19895,0.007576378762411177
METHOD_ONE,10,1,3:5:2,0.0048,0.014247452368402521,0,0.26,0.8946530279410223,0.0007964554533054941,0.0034778056304104075,0.19212000000000007,0.009289159534020552
METHOD_ONE,10,10,1:2:1,0.0025,0.024999999999999994,0,0.01,0.09999999999999998,0,0,0.19729000000000002,0.009255405191158587
METHOD_ONE,10,10,3:5:2,0.005200000000000001,0.015730045881507886,0,0.23,0.6942039987778756,0.0007225188817416013,0.0027772673207154806,0.19376000000000002,0.008076803047911191
METHOD_ONE,20,1,1:2:1,0,0,0,0,0,0,0,0.17981749999999994,0.0026401032559390954
METHOD_ONE,20,1,3:5:2,0.0008,0.005628211765451595,0,0.03,0.22270150335361322,0.0000070077084793272594,0.00007007708479327266,0.18001,0.002488209570893673
METHOD_ONE,20,20,1:2:1,0,0,0,0,0,0,0,0.18046375000000006,0.002554228458395368
METHOD_ONE,20,20,3:5:2,0.0004,0.003999999999999994,0,0.03,0.29999999999999977,0.000013783597518952446,0.00013783597518952456,0.18029125,0.0025491417029496785
METHOD_TWO,10,1,1:2:1,0.771978021978022,0.33050540348657226,0,9.087912087912088,2.0492968772120417,0.18902323841130347,0.07995952832558058,0.10730769230769237,0.01392415352120377
METHOD_TWO,10,1,3:5:2,0.73,0.24979991993593592,0,10.845488494939442,1.8153869738577413,0.362437536074699,0.0621166217960734,0.18562500000000004,0.015094701056993474
METHOD_TWO,10,10,1:2:1,0.7925,0.3794849646347511,0,9.0865,2.5844563595702303,0.18788977961637268,0.08811310813906412,0.11085000000000003,0.016080212446458304
METHOD_TWO,10,10,3:5:2,0.6658823529411764,0.18381576454188484,0,10.498561480709538,1.6372543416846224,0.3509639833067353,0.06392482290058837,0.1789411764705882,0.015789516253812586
METHOD_TWO,20,1,1:2:1,0.8916666666666666,0.34557329751414856,0,19.225833333333338,2.8801800545960057,0.16021926304189266,0.05561251286401246,0.03883124999999999,0.008959236339325927
METHOD_TWO,20,1,3:5:2,1.074,0.2125633032645495,0,23.057550070652436,2.461051725783155,0.331373043965835,0.06392768520072027,0.08290625000000001,0.009404722620353533
METHOD_TWO,20,20,1:2:1,0.8398876404494382,0.3735715046012624,0,19.127902621722846,4.200890339192975,0.15543061609678693,0.06510418873074562,0.038280898876404484,0.007903207079242266
METHOD_TWO,20,20,3:5:2,1.0836363636363637,0.17929153506357892,0,23.154750445715372,2.670067430439448,0.3313151320981731,0.04883808487662811,0.08120454545454546,0.013346848027632866
METHOD_THREE,10,1,1:2:1,0.61,0.3945973526356592,0,10.022666666666666,3.56726018536335,0.12957234917635707,0.07178585632221823,0.14462000000000003,0.028053981153944238
METHOD_THREE,10,1,3:5:2,0.32559999999999983,0.22748657414041268,0,9.359780325668483,2.4911182374104044,0.19971667407667984,0.09865834061580457,0.18486,0.018949704829661945
METHOD_THREE,10,10,1:2:1,0.795,0.3914812585010625,0,10.246166666666664,3.650850380621411,0.1592826715665613,0.07384667185939355,0.1514799999999999,0.027962268950292378
METHOD_THREE,10,10,3:5:2,0.2743478260869565,0.15436010664253474,0,9.391953683393899,2.6619189577908093,0.18782463823968706,0.0807462570986968,0.1848913043478261,0.020449593091810908
METHOD_THREE,20,1,1:2:1,1.15625,0.18600595228571123,0,21.927083333333332,2.794793025530791,0.06060853734209174,0.006363022636150274,0.16328125000000002,0.014455404019159858
METHOD_THREE,20,1,3:5:2,1.2466666666666666,0.2137911753713578,0,23.90729469854843,1.5105605145454342,0.20505084874250873,0.010337522301717935,0.17956249999999999,0.006195134179337848
METHOD_THREE,20,20,1:2:1,1.3125,0.24176243313235013,0,21.43452380952381,2.779724978889071,0.06276989831537459,0.014816017131887625,0.1649866071428571,0.014617315141675583
METHOD_THREE,20,20,3:5:2,1.2514285714285713,0.1900375902664673,0,24.57388948113037,1.4020584792608635,0.21922530978963184,0.02219417979569716,0.17675,0.007344569989681718
NN,10,1,1:2:1,0,0,0,0,0,0,0,0.4460900000000003,0.007128113354878699
