update,tableSolver,sizeXY,sizeZ,seedPattern,trials,numRight,score,scoreDev,evals,evalsDev
METHOD_TWO,GA,10,1,3:5:2,100,0.25,0.791875,0.1367735054494447,15299.4,8205.020613790504
METHOD_TWO,HC,10,1,3:5:2,100,0.24,0.81125,0.1274940580908963,15386.6,8255.815485664243
METHOD_TWO,GA,10,10,3:5:2,100,0.31,0.795,0.157182821561198,14729,8321.700668745663
METHOD_TWO,HC,10,10,3:5:2,100,0.32,0.8175,0.14695993407123673,14059,8748.643242575308
METHOD_TWO,GA,20,1,3:5:2,100,0.79,0.94375,0.11801841364632878,5606.6,7988.150848588059
METHOD_TWO,HC,20,1,3:5:2,100,0.79,0.95875,0.08981427244794404,4917.8,7876.266815534823
METHOD_TWO,GA,20,20,3:5:2,100,0.62,0.9081250000000001,0.12545843963543285,8759.2,9149.574111631786
METHOD_TWO,HC,20,20,3:5:2,100,0.63,0.9237500000000001,0.10607345701365763,8048.400000000001,9289.466688326922
